Termino,Ventana_de_contexto
trabajo nocturno,Condiciones y organización del trabajo | trabajo a través de trabajo
seguridad de los alimentos,"He is an expert in legal linguistics. He has a conjunto of semantic information for the term ""seguridad of foods"", sintetiza a window of context of more than 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
sistema de alerta de la UE,"Eres un experto en lingüstica jurdica. Conjunto de información similitántica para el term ""systema de alerta de la UE"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
maternidad,"A woman is a part of a family, and a husband is a part of a family."
persona jurídica,"Eres un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el término ""persona jurdica"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
concentración económica,Asociación de la empresa | Concentración de sociedades; Concentración | Escripción de empresas; Public offer of acquisition; Participation; Grupo de empresas; Conglomerado de empresas; Fusión de empresas
migración,Migración económica; tasa de migración | movilidad geográfica; migración forzosa; inmigración; migración profesional; migrante; migración familiar; diáspora; migración circular; migración comunitaria; emigración; poltica migratoria; migración de repoblación; reagrupación familiar; migración femenina; corriente migratoria; economica; migración fronteriza
renta complementaria,"Eres un experto en lingüstica jurdica. Desde el conjunto de información semana para el término ""renta complementaria"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
remuneración del trabajo,Administrador y remuneración del personal | renta del trabajo; retribución del trabajo | complementaria renta; no salarial; salary; dietas and expenses; prima salarial; remuneración in especie
domicilio legal,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el término ""domicilio legal"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
cónyuge colaborador,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
prestación social,- Social protection | pensión | social security | unemployment insurance | disability insurance; pension plan; maternity leave; family leave; parental permission; parental care allowance; health insurance; disability insurance; welfare insurance; disability insurance; disability insurance; supplementary insurance; social security insurance
marco común de referencia,MCR | Contract | Civil law
profesión jurídica,"Abogados: Abogados en lingüstica jurdica, juez, juez no profesional, personal de la administración de justicia, ministerio fiscal, magistrado, abogado"
contrato,Contract law | Civil law; firma de contrato; compromiso; contrato final; Contract law | common reference standard; contractual rescindión; digital contract; contractual clause; mandato; hipoteca; garanta
oferta y demanda,Economas | oferta; demanda
personal,"He is an expert in legal lingüstica. He has a conjunto of symbolic information for the term ""personal"", sintetiza a window of context of most 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
mesa electoral,"Se es un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""mesa electoral"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
artesano,"Es un experto en lingüstica jurdica. Desde el conjunto de información semana para el term ""artesano"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
telecomunicación,telefax; material de telecomunicaciones; email; transmission de data; conference by video; telephone; teletex; videocomunicación; telelex; videotex; telecomunicación; telegrafa; telesatélite; telesatélite; telesatélite; telesatélite; telesatélite; telesatélite; telesatélite; telesatélite; telesatélite
jornada intensiva,Condiciones y organización del trabajo | trabajo a través de trabajo
admisibilidad,Ayuda ajusted | procedimiento; excepción de admissibilidad; improcedencia; inadmisibilidad | judicial procedure | legitimate interest; prescripción of the felony
